pais,ano,quantidade_kg,quantidade_dolar
africa_do_sul,1970,0,0
alemanha,1970,0,0
argentina,1970,0,0
austria,1970,0,0
canada,1970,0,0
coreia_do_sul_republica,1970,0,0
coreia_do_norte_republica,1970,0,0
chile,1970,0,0
china,1970,0,0
dinamarca,1970,0,0
espanha,1970,0,0
estados_unidos,1970,0,0
franca,1970,0,0
guiana,1970,0,0
israel,1970,0,0
italia,1970,0,0
japao,1970,0,0
libano,1970,0,0
mexico,1970,0,0
paises_baixos,1970,0,0
panama,1970,0,0
peru,1970,0,0
portugal,1970,0,0
reino_unido,1970,0,0
taiwan,1970,0,0
turquia,1970,0,0
uruguai,1970,0,0
venezuela,1970,0,0
outros,1970,0,0
africa_do_sul,1971,0,0
alemanha,1971,0,0
argentina,1971,0,0
austria,1971,0,0
canada,1971,0,0
coreia_do_sul_republica,1971,0,0
coreia_do_norte_republica,1971,0,0
chile,1971,0,0
china,1971,0,0
dinamarca,1971,34,16
espanha,1971,0,0
estados_unidos,1971,210,777
franca,1971,81,48
guiana,1971,0,0
israel,1971,0,0
italia,1971,0,0
japao,1971,0,0
libano,1971,0,0
mexico,1971,0,0
paises_baixos,1971,0,0
panama,1971,0,0
peru,1971,0,0
portugal,1971,160,109
reino_unido,1971,0,0
taiwan,1971,0,0
turquia,1971,0,0
uruguai,1971,0,0
venezuela,1971,0,0
outros,1971,0,0
africa_do_sul,1972,0,0
alemanha,1972,0,0
argentina,1972,0,0
austria,1972,0,0
canada,1972,0,0
coreia_do_sul_republica,1972,0,0
coreia_do_norte_republica,1972,0,0
chile,1972,0,0
china,1972,0,0
dinamarca,1972,20,8
espanha,1972,0,0
estados_unidos,1972,0,0
franca,1972,36,32
guiana,1972,0,0
israel,1972,0,0
italia,1972,0,0
japao,1972,0,0
libano,1972,0,0
mexico,1972,0,0
paises_baixos,1972,0,0
panama,1972,0,0
peru,1972,0,0
portugal,1972,125,82
reino_unido,1972,458,189
taiwan,1972,0,0
turquia,1972,0,0
uruguai,1972,0,0
venezuela,1972,0,0
outros,1972,0,0
africa_do_sul,1973,0,0
alemanha,1973,0,0
argentina,1973,3600,1350
austria,1973,0,0
canada,1973,0,0
coreia_do_sul_republica,1973,0,0
coreia_do_norte_republica,1973,0,0
chile,1973,0,0
china,1973,0,0
dinamarca,1973,80,38
espanha,1973,0,0
estados_unidos,1973,7,7
franca,1973,27,36
guiana,1973,35,12
israel,1973,0,0
italia,1973,0,0
japao,1973,0,0
libano,1973,0,0
mexico,1973,0,0
paises_baixos,1973,0,0
panama,1973,0,0
peru,1973,0,0
portugal,1973,1402,732
reino_unido,1973,244,129
taiwan,1973,0,0
turquia,1973,0,0
uruguai,1973,0,0
venezuela,1973,127,185
outros,1973,0,0
africa_do_sul,1974,0,0
alemanha,1974,0,0
argentina,1974,10200,3500
austria,1974,0,0
canada,1974,0,0
coreia_do_sul_republica,1974,0,0
coreia_do_norte_republica,1974,0,0
chile,1974,0,0
china,1974,0,0
dinamarca,1974,0,0
espanha,1974,0,0
estados_unidos,1974,731,406
franca,1974,0,0
guiana,1974,0,0
israel,1974,18,8
italia,1974,0,0
japao,1974,0,0
libano,1974,0,0
mexico,1974,0,0
paises_baixos,1974,0,0
panama,1974,0,0
peru,1974,0,0
portugal,1974,0,0
reino_unido,1974,0,0
taiwan,1974,0,0
turquia,1974,0,0
uruguai,1974,0,0
venezuela,1974,0,0
outros,1974,0,0
africa_do_sul,1975,0,0
alemanha,1975,5,1
argentina,1975,6,5
austria,1975,0,0
canada,1975,0,0
coreia_do_sul_republica,1975,0,0
coreia_do_norte_republica,1975,0,0
chile,1975,0,0
china,1975,0,0
dinamarca,1975,0,0
espanha,1975,0,0
estados_unidos,1975,3364,859
franca,1975,0,0
guiana,1975,0,0
israel,1975,225,112
italia,1975,0,0
japao,1975,0,0
libano,1975,0,0
mexico,1975,0,0
paises_baixos,1975,0,0
panama,1975,0,0
peru,1975,0,0
portugal,1975,0,0
reino_unido,1975,0,0
taiwan,1975,0,0
turquia,1975,0,0
uruguai,1975,0,0
venezuela,1975,0,0
outros,1975,0,0
africa_do_sul,1976,0,0
alemanha,1976,0,0
argentina,1976,0,0
austria,1976,0,0
canada,1976,0,0
coreia_do_sul_republica,1976,0,0
coreia_do_norte_republica,1976,0,0
chile,1976,0,0
china,1976,0,0
dinamarca,1976,0,0
espanha,1976,0,0
estados_unidos,1976,3265,742
franca,1976,0,0
guiana,1976,0,0
israel,1976,405,225
italia,1976,0,0
japao,1976,0,0
libano,1976,0,0
mexico,1976,0,0
paises_baixos,1976,0,0
panama,1976,0,0
peru,1976,0,0
portugal,1976,0,0
reino_unido,1976,0,0
taiwan,1976,0,0
turquia,1976,0,0
uruguai,1976,15000,4500
venezuela,1976,0,0
outros,1976,0,0
africa_do_sul,1977,0,0
alemanha,1977,0,0
argentina,1977,0,0
austria,1977,0,0
canada,1977,0,0
coreia_do_sul_republica,1977,0,0
coreia_do_norte_republica,1977,0,0
chile,1977,0,0
china,1977,0,0
dinamarca,1977,0,0
espanha,1977,0,0
estados_unidos,1977,0,0
franca,1977,0,0
guiana,1977,0,0
israel,1977,0,0
italia,1977,0,0
japao,1977,0,0
libano,1977,0,0
mexico,1977,0,0
paises_baixos,1977,0,0
panama,1977,0,0
peru,1977,0,0
portugal,1977,0,0
reino_unido,1977,0,0
taiwan,1977,0,0
turquia,1977,0,0
uruguai,1977,0,0
venezuela,1977,0,0
outros,1977,0,0
africa_do_sul,1978,0,0
alemanha,1978,0,0
argentina,1978,2790,2850
austria,1978,0,0
canada,1978,0,0
coreia_do_sul_republica,1978,0,0
coreia_do_norte_republica,1978,0,0
chile,1978,0,0
china,1978,0,0
dinamarca,1978,0,0
espanha,1978,0,0
estados_unidos,1978,0,0
franca,1978,0,0
guiana,1978,0,0
israel,1978,0,0
italia,1978,0,0
japao,1978,0,0
libano,1978,0,0
mexico,1978,0,0
paises_baixos,1978,0,0
panama,1978,0,0
peru,1978,0,0
portugal,1978,0,0
reino_unido,1978,0,0
taiwan,1978,0,0
turquia,1978,0,0
uruguai,1978,0,0
venezuela,1978,0,0
outros,1978,0,0
africa_do_sul,1979,0,0
alemanha,1979,0,0
argentina,1979,0,0
austria,1979,0,0
canada,1979,0,0
coreia_do_sul_republica,1979,0,0
coreia_do_norte_republica,1979,0,0
chile,1979,0,0
china,1979,0,0
dinamarca,1979,49,64
espanha,1979,0,0
estados_unidos,1979,0,0
franca,1979,0,0
guiana,1979,0,0
israel,1979,0,0
italia,1979,0,0
japao,1979,0,0
libano,1979,0,0
mexico,1979,0,0
paises_baixos,1979,0,0
panama,1979,0,0
peru,1979,0,0
portugal,1979,0,0
reino_unido,1979,0,0
taiwan,1979,0,0
turquia,1979,0,0
uruguai,1979,0,0
venezuela,1979,0,0
outros,1979,0,0
africa_do_sul,1980,0,0
alemanha,1980,0,0
argentina,1980,0,0
austria,1980,0,0
canada,1980,0,0
coreia_do_sul_republica,1980,0,0
coreia_do_norte_republica,1980,0,0
chile,1980,0,0
china,1980,0,0
dinamarca,1980,0,0
espanha,1980,0,0
estados_unidos,1980,0,0
franca,1980,0,0
guiana,1980,0,0
israel,1980,0,0
italia,1980,0,0
japao,1980,0,0
libano,1980,0,0
mexico,1980,0,0
paises_baixos,1980,0,0
panama,1980,0,0
peru,1980,0,0
portugal,1980,0,0
reino_unido,1980,0,0
taiwan,1980,0,0
turquia,1980,0,0
uruguai,1980,0,0
venezuela,1980,0,0
outros,1980,0,0
africa_do_sul,1981,0,0
alemanha,1981,0,0
argentina,1981,0,0
austria,1981,0,0
canada,1981,0,0
coreia_do_sul_republica,1981,0,0
coreia_do_norte_republica,1981,0,0
chile,1981,0,0
china,1981,0,0
dinamarca,1981,0,0
espanha,1981,0,0
estados_unidos,1981,0,0
franca,1981,0,0
guiana,1981,0,0
israel,1981,0,0
italia,1981,0,0
japao,1981,0,0
libano,1981,0,0
mexico,1981,0,0
paises_baixos,1981,0,0
panama,1981,0,0
peru,1981,0,0
portugal,1981,0,0
reino_unido,1981,0,0
taiwan,1981,0,0
turquia,1981,0,0
uruguai,1981,0,0
venezuela,1981,0,0
outros,1981,0,0
africa_do_sul,1982,0,0
alemanha,1982,0,0
argentina,1982,0,0
austria,1982,0,0
canada,1982,0,0
coreia_do_sul_republica,1982,0,0
coreia_do_norte_republica,1982,0,0
chile,1982,0,0
china,1982,0,0
dinamarca,1982,0,0
espanha,1982,0,0
estados_unidos,1982,0,0
franca,1982,0,0
guiana,1982,0,0
israel,1982,0,0
italia,1982,0,0
japao,1982,0,0
libano,1982,0,0
mexico,1982,0,0
paises_baixos,1982,0,0
panama,1982,48,99
peru,1982,0,0
portugal,1982,0,0
reino_unido,1982,0,0
taiwan,1982,0,0
turquia,1982,0,0
uruguai,1982,0,0
venezuela,1982,0,0
outros,1982,0,0
africa_do_sul,1983,0,0
alemanha,1983,0,0
argentina,1983,0,0
austria,1983,0,0
canada,1983,0,0
coreia_do_sul_republica,1983,0,0
coreia_do_norte_republica,1983,0,0
chile,1983,0,0
china,1983,0,0
dinamarca,1983,0,0
espanha,1983,0,0
estados_unidos,1983,0,0
franca,1983,0,0
guiana,1983,0,0
israel,1983,0,0
italia,1983,0,0
japao,1983,0,0
libano,1983,0,0
mexico,1983,0,0
paises_baixos,1983,0,0
panama,1983,0,0
peru,1983,0,0
portugal,1983,0,0
reino_unido,1983,0,0
taiwan,1983,0,0
turquia,1983,0,0
uruguai,1983,0,0
venezuela,1983,0,0
outros,1983,0,0
africa_do_sul,1984,0,0
alemanha,1984,0,0
argentina,1984,0,0
austria,1984,0,0
canada,1984,0,0
coreia_do_sul_republica,1984,0,0
coreia_do_norte_republica,1984,0,0
chile,1984,0,0
china,1984,0,0
dinamarca,1984,0,0
espanha,1984,0,0
